"Campaign name","Account name","Ad set name","Ad name","Ad Delivery","Post reactions","Post comments","Post shares","Link clicks","Facebook likes",Currency,"CPC (cost per link click)","Reporting starts","Reporting ends"
,,,,,3779,59,1806,8067,2053,TWD,4.21767696,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",傷害你的人正在溺水,not_delivering,1067,27,559,2118,519,TWD,4.16997167,2026-01-01,2026-04-18
文章推薦,Tuner,ads#8,別用一生去治癒童年,not_delivering,426,1,225,835,199,TWD,4.68622754,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,"#吸引力法則 #善護念你的念頭",not_delivering,350,4,145,627,153,TWD,4.15470494,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#5,忍辱還是忍耐，你確定你修行修對了嗎？,inactive,369,10,206,649,193,TWD,3.80739599,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#6,被討厭的勇氣,not_delivering,215,,128,558,241,TWD,4.30824373,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#10,焦慮是大腦的生存騙局,not_delivering,179,1,93,432,116,TWD,4.07638889,2026-01-01,2026-04-18
"AB test #2",Tuner,"#2 Ads-biz audience",長姊病-biz,active,311,3,107,365,118,TWD,4.75342466,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#2,付出那一刻就得到,not_delivering,101,1,58,224,72,TWD,6.24107143,2026-01-01,2026-04-18
"AB test",Tuner,"Ads-spirit audience",定海神針-spirit,not_delivering,55,,18,294,36,TWD,3.64285714,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#2,願力,not_delivering,81,2,25,168,38,TWD,5.96428571,2026-01-01,2026-04-18
"AB test #2",Tuner,"＃2 Ads-spirit audience","長姊病-spirit -",active,172,5,64,312,65,TWD,2.56730769,2026-01-01,2026-04-18
文章推薦,Tuner,ads#11,無路是因為你只想走眼前的這條路,not_delivering,57,1,35,183,38,TWD,3.81967213,2026-01-01,2026-04-18
文章推薦,Tuner,"Ads#4-CNY special","丙午赤馬年 練馬術",not_delivering,27,,8,132,10,TWD,4.70454545,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#7,向死而生,not_delivering,24,,4,140,21,TWD,4.07142857,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,你看到的是攻擊，我看到的是求救。,not_delivering,49,2,10,69,22,TWD,5.68115942,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#9,被討厭的勇氣,not_delivering,42,,14,97,43,TWD,3.89690722,2026-01-01,2026-04-18
"AB test #3",Tuner,"#3 Ads-biz audience",順著天意做事-biz,not_delivering,36,,16,57,21,TWD,5.54385965,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",然後呢,not_delivering,15,,2,107,16,TWD,2.89719626,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#10,請允許不一樣,not_delivering,14,,14,55,13,TWD,5.41818182,2026-01-01,2026-04-18
文章推薦,Tuner,ads#11,『離開』是為了逃避？,not_delivering,40,,14,64,13,TWD,4.578125,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#7,外在的顯化來自於內在的轉化,not_delivering,18,,5,52,16,TWD,5.25,2026-01-01,2026-04-18
"AB test #2",Tuner,"#2 Ads-biz audience","無反應練習 -biz",active,18,,14,57,23,TWD,3.98245614,2026-01-01,2026-04-18
"AB test",Tuner,"Ads-biz audience",定海神針-biz,not_delivering,10,,3,37,4,TWD,6.05405405,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,"不是息心除妄想 ，只緣無事可思量",not_delivering,18,1,8,54,15,TWD,4.05555556,2026-01-01,2026-04-18
文章推薦,Tuner,ads#8,大腦關機,not_delivering,4,,2,52,5,TWD,3.65384615,2026-01-01,2026-04-18
"AB test #4",Tuner,"#4 Ads-biz audience",良心生的太大顆-biz,active,3,1,2,28,4,TWD,5.32142857,2026-01-01,2026-04-18
"AB test #2",Tuner,"＃2 Ads-spirit audience",無反應練習-spirit,active,12,,2,53,10,TWD,2.11320755,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",被對與錯綁架的人生,inactive,4,,2,32,3,TWD,3.1875,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",為什麼你的靜坐沒有效,inactive,,,1,37,1,TWD,2.37837838,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#6,【我的菩薩，是一匹馬：在拉扯中看見覺醒】,not_delivering,6,,3,18,1,TWD,4.88888889,2026-01-01,2026-04-18
"AB test #3",Tuner,"＃3 Ads-spirit audience",順著天意做事-spirit,not_delivering,19,,5,33,5,TWD,2.54545455,2026-01-01,2026-04-18
文章推薦,Tuner,ads#11,靈性成長的代價,not_delivering,1,,1,18,3,TWD,4.05555556,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#9,"忍辱還是忍耐，你確定你修行修對了嗎？ - Copy",not_delivering,10,,4,17,5,TWD,3.47058824,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#2,然後呢,inactive,,,,3,1,TWD,17.66666667,2026-01-01,2026-04-18
"AB test #3",Tuner,"#3 Ads-biz audience",隱藏關卡-biz,not_delivering,3,,,5,1,TWD,9,2026-01-01,2026-04-18
文章推薦,Tuner,"Ads#4-CNY special - before - Copy","能量清理 感恩練習",not_delivering,3,,,4,1,TWD,10.25,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",付出那一刻就得到,inactive,3,,1,17,2,TWD,2.23529412,2026-01-01,2026-04-18
"AB test #3",Tuner,"＃3 Ads-spirit audience",隱藏關卡-spirit,not_delivering,1,,2,12,2,TWD,1.83333333,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#2,小心負能量炸彈,not_delivering,3,,,5,,TWD,3.2,2026-01-01,2026-04-18
"AB test #2",Tuner,"＃2 Ads-spirit audience",別再問當初-spirit,active,5,,6,15,2,TWD,0.73333333,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#6,你算命嗎？算命是怎麼一回事呢？,not_delivering,1,,,10,,TWD,0.9,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",為什麼生活像鬼打牆（習氣）,inactive,2,,,4,,TWD,2,2026-01-01,2026-04-18
文章推薦,Tuner,"Winner Ads",願力,inactive,,,,5,2,TWD,1.4,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,歲末感恩,not_delivering,1,,,2,,TWD,3.5,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#9,如果你的生命正在經歷失去,not_delivering,3,,,3,,TWD,1.33333333,2026-01-01,2026-04-18
"AB test #2",Tuner,"#2 Ads-biz audience",別再問當初-biz,active,1,,,3,,TWD,1.33333333,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#5,丙午赤馬年，你準備好,inactive,,,,2,,TWD,0.5,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,"不是息心除妄想 ，只緣無事可思量",archived,,,,1,,TWD,0,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,控制，是這場虛擬遊戲中的無效指令,archived,,,,1,,TWD,0,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,你看到的是攻擊，我看到的是求救。,archived,,,,,,TWD,,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#3,控制，是這場虛擬遊戲中的無效指令,inactive,,,,1,,TWD,0,2026-01-01,2026-04-18
文章推薦,Tuner,Ads#9,吸引力法則是真的,not_delivering,,,,,,TWD,,2026-01-01,2026-04-18
"AB test #3",Tuner,"＃3 Ads-spirit audience",良心生的太大顆-spirit,archived,,,,,,TWD,,2026-01-01,2026-04-18
