"Campaign name","Ad set name","Account name","Ad name","Ad Delivery",Reach,Impressions,"Clicks (all)",Currency,"CPC (all)","Amount spent (TWD)",Starts,Ends,"Reporting starts","Reporting ends"
,,,,,113730,504598,58390,TWD,0.58270252,34024,,,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,傷害你的人正在溺水,not_delivering,51813,122301,16482,TWD,0.5358573,8832,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,ads#8,Tuner,別用一生去治癒童年,not_delivering,31491,63066,5242,TWD,0.74647081,3913,2026-03-16,2026-03-31,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,"#吸引力法則 #善護念你的念頭",not_delivering,20125,39796,7666,TWD,0.33981216,2605,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#5,Tuner,忍辱還是忍耐，你確定你修行修對了嗎？,inactive,19834,41128,4768,TWD,0.51824664,2471,2026-02-23,2026-03-21,2026-01-01,2026-04-18
文章推薦,Ads#6,Tuner,被討厭的勇氣,not_delivering,17203,38021,3911,TWD,0.61467655,2404,2026-03-02,2026-03-28,2026-01-01,2026-04-18
文章推薦,Ads#10,Tuner,焦慮是大腦的生存騙局,not_delivering,24224,41222,4030,TWD,0.4369727,1761,2026-03-21,2026-04-04,2026-01-01,2026-04-18
"AB test #2","#2 Ads-biz audience",Tuner,長姊病-biz,active,14043,25196,2894,TWD,0.59951624,1735,2026-04-07,2026-04-26,2026-01-01,2026-04-18
文章推薦,Ads#2,Tuner,付出那一刻就得到,not_delivering,5972,12142,1409,TWD,0.99219304,1398,2026-01-28,2026-02-27,2026-01-01,2026-04-18
"AB test","Ads-spirit audience",Tuner,定海神針-spirit,not_delivering,7044,12570,950,TWD,1.12736842,1071,2026-04-03,2026-04-12,2026-01-01,2026-04-18
文章推薦,Ads#2,Tuner,願力,not_delivering,3355,6744,803,TWD,1.24782067,1002,2026-01-28,2026-02-27,2026-01-01,2026-04-18
"AB test #2","＃2 Ads-spirit audience",Tuner,"長姊病-spirit -",active,9070,14113,1902,TWD,0.42113565,801,2026-04-07,2026-04-26,2026-01-01,2026-04-18
文章推薦,ads#11,Tuner,無路是因為你只想走眼前的這條路,not_delivering,8105,11961,1029,TWD,0.67930029,699,2026-03-30,2026-04-06,2026-01-01,2026-04-18
文章推薦,"Ads#4-CNY special",Tuner,"丙午赤馬年 練馬術",not_delivering,5042,7904,583,TWD,1.0651801,621,2026-02-17,2026-02-22,2026-01-01,2026-04-18
文章推薦,Ads#7,Tuner,向死而生,not_delivering,4545,7509,556,TWD,1.02517986,570,2026-03-09,2026-03-31,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,你看到的是攻擊，我看到的是求救。,not_delivering,3427,4579,540,TWD,0.72592593,392,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#9,Tuner,被討厭的勇氣,not_delivering,3840,5347,547,TWD,0.69104205,378,2026-03-16,2026-03-28,2026-01-01,2026-04-18
"AB test #3","#3 Ads-biz audience",Tuner,順著天意做事-biz,not_delivering,3418,4771,485,TWD,0.65154639,316,2026-04-12,2026-04-19,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,然後呢,not_delivering,2025,3053,244,TWD,1.2704918,310,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,Ads#10,Tuner,請允許不一樣,not_delivering,4064,6050,884,TWD,0.33710407,298,2026-03-21,2026-04-04,2026-01-01,2026-04-18
文章推薦,ads#11,Tuner,『離開』是為了逃避？,not_delivering,3892,5085,457,TWD,0.64113786,293,2026-03-30,2026-04-06,2026-01-01,2026-04-18
文章推薦,Ads#7,Tuner,外在的顯化來自於內在的轉化,not_delivering,2197,3410,380,TWD,0.71842105,273,2026-03-09,2026-03-31,2026-01-01,2026-04-18
"AB test #2","#2 Ads-biz audience",Tuner,"無反應練習 -biz",active,2645,3787,397,TWD,0.57178841,227,2026-04-07,2026-04-26,2026-01-01,2026-04-18
"AB test","Ads-biz audience",Tuner,定海神針-biz,not_delivering,2718,3480,238,TWD,0.94117647,224,2026-03-27,2026-04-12,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,"不是息心除妄想 ，只緣無事可思量",not_delivering,2274,3353,266,TWD,0.82330827,219,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,ads#8,Tuner,大腦關機,not_delivering,1905,3029,191,TWD,0.9947644,190,2026-03-16,2026-03-31,2026-01-01,2026-04-18
"AB test #4","#4 Ads-biz audience",Tuner,良心生的太大顆-biz,active,1483,1878,167,TWD,0.89221557,149,2026-04-16,2026-04-26,2026-01-01,2026-04-18
"AB test #2","＃2 Ads-spirit audience",Tuner,無反應練習-spirit,active,1569,2230,290,TWD,0.3862069,112,2026-04-07,2026-04-26,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,被對與錯綁架的人生,inactive,557,760,82,TWD,1.24390244,102,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,為什麼你的靜坐沒有效,inactive,337,591,72,TWD,1.22222222,88,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,Ads#6,Tuner,【我的菩薩，是一匹馬：在拉扯中看見覺醒】,not_delivering,1212,1603,148,TWD,0.59459459,88,2026-03-02,2026-03-28,2026-01-01,2026-04-18
"AB test #3","＃3 Ads-spirit audience",Tuner,順著天意做事-spirit,not_delivering,1216,1500,188,TWD,0.44680851,84,2026-04-12,2026-04-19,2026-01-01,2026-04-18
文章推薦,ads#11,Tuner,靈性成長的代價,not_delivering,982,1182,86,TWD,0.84883721,73,2026-03-30,2026-04-06,2026-01-01,2026-04-18
文章推薦,Ads#9,Tuner,"忍辱還是忍耐，你確定你修行修對了嗎？ - Copy",not_delivering,884,1084,108,TWD,0.5462963,59,2026-03-16,2026-03-28,2026-01-01,2026-04-18
文章推薦,Ads#2,Tuner,然後呢,inactive,490,506,12,TWD,4.41666667,53,2026-01-28,2026-02-27,2026-01-01,2026-04-18
"AB test #3","#3 Ads-biz audience",Tuner,隱藏關卡-biz,not_delivering,475,568,68,TWD,0.66176471,45,2026-04-12,2026-04-19,2026-01-01,2026-04-18
文章推薦,"Ads#4-CNY special - before - Copy",Tuner,"能量清理 感恩練習",not_delivering,265,281,12,TWD,3.41666667,41,2026-02-14,2026-02-16,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,付出那一刻就得到,inactive,290,504,60,TWD,0.63333333,38,2026-01-08,2026-03-07,2026-01-01,2026-04-18
"AB test #3","＃3 Ads-spirit audience",Tuner,隱藏關卡-spirit,not_delivering,323,364,37,TWD,0.59459459,22,2026-04-12,2026-04-19,2026-01-01,2026-04-18
文章推薦,Ads#2,Tuner,小心負能量炸彈,not_delivering,173,218,29,TWD,0.55172414,16,2026-01-28,2026-02-27,2026-01-01,2026-04-18
"AB test #2","＃2 Ads-spirit audience",Tuner,別再問當初-spirit,active,338,443,59,TWD,0.18644068,11,2026-04-07,2026-04-26,2026-01-01,2026-04-18
文章推薦,Ads#6,Tuner,你算命嗎？算命是怎麼一回事呢？,not_delivering,236,310,29,TWD,0.31034483,9,2026-03-02,2026-03-28,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,為什麼生活像鬼打牆（習氣）,inactive,82,120,12,TWD,0.66666667,8,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,"Winner Ads",Tuner,願力,inactive,65,80,7,TWD,1,7,2026-01-08,2026-03-07,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,歲末感恩,not_delivering,128,170,16,TWD,0.4375,7,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#9,Tuner,如果你的生命正在經歷失去,not_delivering,190,248,25,TWD,0.16,4,2026-03-16,2026-03-28,2026-01-01,2026-04-18
"AB test #2","#2 Ads-biz audience",Tuner,別再問當初-biz,active,138,151,16,TWD,0.25,4,2026-04-07,2026-04-26,2026-01-01,2026-04-18
文章推薦,Ads#5,Tuner,丙午赤馬年，你準備好,inactive,65,77,5,TWD,0.2,1,2026-02-23,2026-03-21,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,"不是息心除妄想 ，只緣無事可思量",archived,28,32,3,TWD,0,0,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,控制，是這場虛擬遊戲中的無效指令,archived,22,24,2,TWD,0,0,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,你看到的是攻擊，我看到的是求救。,archived,10,10,1,TWD,0,0,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#3,Tuner,控制，是這場虛擬遊戲中的無效指令,inactive,5,5,1,TWD,0,0,2026-02-10,2026-02-28,2026-01-01,2026-04-18
文章推薦,Ads#9,Tuner,吸引力法則是真的,not_delivering,24,24,0,TWD,0,0,2026-03-16,2026-03-28,2026-01-01,2026-04-18
"AB test #3","＃3 Ads-spirit audience",Tuner,良心生的太大顆-spirit,archived,17,18,1,TWD,0,0,2026-04-12,2026-04-19,2026-01-01,2026-04-18
