"Campaign name",Ads,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (TWD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Frequency,"Link clicks","CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)",Views,Viewers,"Clicks (all)","CPC (all)","Page engagement","Facebook likes","Post comments","Post engagements","Post saves","Post shares","Reporting starts","Reporting ends"
文章推薦,傷害你的人正在溺水,inactive,campaign,"Facebook Page visits",2422,3.64657308,8832,122301,51813,"1-day click",-,-,-,,2.36043078,2118,4.16997167,13.47658645,72.21527216,122551,51813,16482,0.5358573,5120,519,27,4601,422,559,2026-01-01,2026-04-18
文章推薦,別用一生去治癒童年,inactive,campaign,"Facebook Page visits",976,4.00922131,3913,63066,31491,"1-day click",-,-,-,,2.00266743,835,4.68622754,8.31192719,62.04611042,63208,31491,5242,0.74647081,1955,199,1,1756,171,225,2026-01-01,2026-04-18
文章推薦,"#吸引力法則 #善護念你的念頭",inactive,campaign,"Facebook Page visits",730,3.56849315,2605,39796,20125,"1-day click",-,-,-,,1.97744099,627,4.15470494,19.26324254,65.45884008,39886,20125,7666,0.33981216,1505,153,4,1352,148,145,2026-01-01,2026-04-18
文章推薦,忍辱還是忍耐，你確定你修行修對了嗎？,inactive,campaign,"Facebook Page visits",767,3.22164276,2471,41128,19834,"1-day click",-,-,-,,2.07361097,649,3.80739599,11.59307528,60.08072359,41295,19822,4768,0.51824664,1839,193,10,1646,159,206,2026-01-01,2026-04-18
文章推薦,被討厭的勇氣,inactive,campaign,"Facebook Page visits",649,3.70416025,2404,38021,17203,"1-day click",-,-,-,,2.21013777,558,4.30824373,10.28642066,63.22821599,38163,17203,3911,0.61467655,1437,241,,1196,107,128,2026-01-01,2026-04-18
文章推薦,焦慮是大腦的生存騙局,inactive,campaign,"Facebook Page visits",498,3.53614458,1761,41222,24224,"1-day click",-,-,-,,1.70170079,432,4.07638889,9.77633303,42.71990685,41313,24224,4030,0.4369727,992,116,1,876,100,93,2026-01-01,2026-04-18
"AB test #2",長姊病-biz,active,campaign,"Facebook Page visits",411,4.22141119,1735,25196,14043,"1-day click",Average,-,-,,1.79420352,365,4.75342466,11.48595015,68.86013653,25273,14043,2894,0.59951624,1025,118,3,907,58,107,2026-01-01,2026-04-18
文章推薦,付出那一刻就得到,inactive,campaign,"Facebook Page visits",272,5.13970588,1398,12142,5972,"1-day click",-,-,-,,2.03315472,224,6.24107143,11.60434854,115.13753912,12198,5952,1409,0.99219304,630,72,1,558,45,58,2026-01-01,2026-04-18
"AB test",定海神針-spirit,inactive,campaign,"Facebook Page visits",310,3.45483871,1071,12570,7044,"1-day click",Average,-,-,,1.78449744,294,3.64285714,7.55767701,85.20286396,12663,7022,950,1.12736842,559,36,,523,27,18,2026-01-01,2026-04-18
文章推薦,"願力;...and 1 more ad",inactive,campaign,"Facebook Page visits",193,5.22797927,1009,6824,3355,"1-day click",-,-,-,,2.03397914,173,5.83236994,11.86987104,147.86049238,6838,3355,810,1.24567901,389,40,2,349,33,25,2026-01-01,2026-04-18
"AB test #2","長姊病-spirit -",active,campaign,"Facebook Page visits",357,2.24369748,801,14113,9070,"1-day click",Average,-,-,,1.55600882,312,2.56730769,13.47693616,56.75618224,14158,9070,1902,0.42113565,719,65,5,654,51,64,2026-01-01,2026-04-18
文章推薦,無路是因為你只想走眼前的這條路,inactive,campaign,"Facebook Page visits",194,3.60309278,699,11961,8105,"1-day click",-,-,-,,1.47575571,183,3.81967213,8.60295962,58.43992977,12020,8105,1029,0.67930029,407,38,1,369,35,35,2026-01-01,2026-04-18
文章推薦,"丙午赤馬年 練馬術",inactive,campaign,"Facebook Page visits",144,4.3125,621,7904,5042,"1-day click",-,-,-,,1.56763189,132,4.70454545,7.37601215,78.56781377,7920,5042,583,1.0651801,195,10,,185,8,8,2026-01-01,2026-04-18
文章推薦,向死而生,inactive,campaign,"Facebook Page visits",161,3.54037267,570,7509,4545,"1-day click",-,-,-,,1.65214521,140,4.07142857,7.404448,75.90890931,7539,4545,556,1.02517986,240,21,,219,18,4,2026-01-01,2026-04-18
文章推薦,你看到的是攻擊，我看到的是求救。,inactive,campaign,"Facebook Page visits",81,4.83950617,392,4579,3427,"1-day click",-,-,-,,1.33615407,69,5.68115942,11.7929679,85.6082114,4593,3424,540,0.72592593,179,22,2,157,14,10,2026-01-01,2026-04-18
文章推薦,被討厭的勇氣,inactive,campaign,"Facebook Page visits",114,3.31578947,378,5347,3840,"1-day click",-,-,-,,1.39244792,97,3.89690722,10.23003553,70.69384702,5362,3840,547,0.69104205,221,43,,178,9,14,2026-01-01,2026-04-18
"AB test #3",順著天意做事-biz,recently_completed,campaign,"Facebook Page visits",65,4.86153846,316,4771,3418,"1-day click",Average,-,-,,1.39584552,57,5.54385965,10.16558374,66.23349403,4785,3416,485,0.65154639,165,21,,144,12,16,2026-01-01,2026-04-18
文章推薦,然後呢,inactive,campaign,"Facebook Page visits",107,2.89719626,310,3053,2025,"1-day click",-,-,-,,1.50765432,107,2.89719626,7.99213888,101.53946937,3056,2020,244,1.2704918,156,16,,140,9,2,2026-01-01,2026-04-18
文章推薦,請允許不一樣,inactive,campaign,"Facebook Page visits",62,4.80645161,298,6050,4064,"1-day click",-,-,-,,1.4886811,55,5.41818182,14.61157025,49.25619835,6066,4064,884,0.33710407,107,13,,94,5,14,2026-01-01,2026-04-18
文章推薦,『離開』是為了逃避？,inactive,campaign,"Facebook Page visits",65,4.50769231,293,5085,3892,"1-day click",-,-,-,,1.30652621,64,4.578125,8.98721731,57.62045231,5130,3869,457,0.64113786,238,13,,225,10,14,2026-01-01,2026-04-18
文章推薦,外在的顯化來自於內在的轉化,inactive,campaign,"Facebook Page visits",61,4.47540984,273,3410,2197,"1-day click",-,-,-,,1.55211652,52,5.25,11.14369501,80.05865103,3418,2194,380,0.71842105,106,16,,90,12,5,2026-01-01,2026-04-18
"AB test #2","無反應練習 -biz",active,campaign,"Facebook Page visits",71,3.1971831,227,3787,2645,"1-day click",-,-,-,,1.43175803,57,3.98245614,10.48323211,59.94190652,3795,2645,397,0.57178841,127,23,,104,11,14,2026-01-01,2026-04-18
"AB test",定海神針-biz,inactive,campaign,"Facebook Page visits",43,5.20930233,224,3480,2718,"1-day click",-,-,-,,1.2803532,37,6.05405405,6.83908046,64.36781609,3500,2714,238,0.94117647,94,4,,90,3,3,2026-01-01,2026-04-18
文章推薦,"不是息心除妄想 ，只緣無事可思量",inactive,campaign,"Facebook Page visits",61,3.59016393,219,3353,2274,"1-day click",-,-,-,,1.47449428,54,4.05555556,7.93319415,65.3146436,3370,2274,266,0.82330827,112,15,1,97,4,8,2026-01-01,2026-04-18
文章推薦,大腦關機,inactive,campaign,"Facebook Page visits",58,3.27586207,190,3029,1905,"1-day click",-,-,-,,1.59002625,52,3.65384615,6.30571146,62.7269726,3036,1905,191,0.9947644,67,5,,62,2,2,2026-01-01,2026-04-18
"AB test #4",良心生的太大顆-biz,active,campaign,"Facebook Page visits",31,4.80645161,149,1878,1483,"1-day click",-,-,-,,1.26635199,28,5.32142857,8.89243876,79.33972311,1426,1194,167,0.89221557,46,4,1,42,5,2,2026-01-01,2026-04-18
"AB test #2",無反應練習-spirit,active,campaign,"Facebook Page visits",56,2,112,2230,1569,"1-day click",-,-,-,,1.42128744,53,2.11320755,13.0044843,50.22421525,2240,1569,290,0.3862069,89,10,,79,8,2,2026-01-01,2026-04-18
文章推薦,被對與錯綁架的人生,inactive,campaign,"Facebook Page visits",38,2.68421053,102,760,557,"1-day click",-,-,-,,1.36445242,32,3.1875,10.78947368,134.21052632,761,557,82,1.24390244,45,3,,42,3,2,2026-01-01,2026-04-18
文章推薦,【我的菩薩，是一匹馬：在拉扯中看見覺醒】,inactive,campaign,"Facebook Page visits",23,3.82608696,88,1603,1212,"1-day click",-,-,-,,1.32260726,18,4.88888889,9.23268871,54.897068,1617,1209,148,0.59459459,47,1,,46,2,3,2026-01-01,2026-04-18
文章推薦,為什麼你的靜坐沒有效,inactive,campaign,"Facebook Page visits",40,2.2,88,591,337,"1-day click",-,-,-,,1.7537092,37,2.37837838,12.18274112,148.9001692,592,337,72,1.22222222,42,1,,41,1,1,2026-01-01,2026-04-18
"AB test #3",順著天意做事-spirit,recently_completed,campaign,"Facebook Page visits",39,2.15384615,84,1500,1216,"1-day click",-,-,-,,1.23355263,33,2.54545455,12.53333333,56,1505,1214,188,0.44680851,73,5,,68,2,5,2026-01-01,2026-04-18
文章推薦,靈性成長的代價,inactive,campaign,"Facebook Page visits",21,3.47619048,73,1182,982,"1-day click",-,-,-,,1.20366599,18,4.05555556,7.27580372,61.75972927,1192,975,86,0.84883721,36,3,,33,,1,2026-01-01,2026-04-18
文章推薦,"忍辱還是忍耐，你確定你修行修對了嗎？ - Copy",inactive,campaign,"Facebook Page visits",18,3.27777778,59,1084,884,"1-day click",-,-,-,,1.22624434,17,3.47058824,9.96309963,54.42804428,1434,813,108,0.5462963,413,5,,408,1,4,2026-01-01,2026-04-18
