"Account name","Campaign name","Ad set name","Ad name","Ad ID",Placement,Reach,Impressions,Frequency,Currency,"Amount spent (TWD)","Attribution setting","Reporting starts","Reporting ends"
,,,,,,113730,504598,4.43680647,TWD,34024,,2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",良心生的太大顆-spirit,120242339359650243,"Facebook Reels",2,2,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#9,吸引力法則是真的,120240922187740243,Feed,24,24,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#3,控制，是這場虛擬遊戲中的無效指令,120239487827560243,Feed,5,5,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","#2 Ads-biz audience",別再問當初-biz,120242088359070243,"Facebook Reels",14,14,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",良心生的太大顆-spirit,120242339359650243,Feed,16,16,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#3,你看到的是攻擊，我看到的是求救。,120239484391820243,Feed,10,10,1,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",隱藏關卡-spirit,120242339359660243,"Facebook Reels",17,17,1,TWD,2,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#2,然後呢,120238977243880243,Feed,490,506,1.03265306,TWD,53,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,"Ads#4-CNY special - before - Copy","能量清理 感恩練習",120239592359990243,Feed,233,242,1.03862661,TWD,27,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,"Ads#4-CNY special - before - Copy","能量清理 感恩練習",120239592359990243,"Facebook Reels",36,39,1.08333333,TWD,14,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","#2 Ads-biz audience",別再問當初-biz,120242088359070243,Feed,126,137,1.08730159,TWD,4,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#3,控制，是這場虛擬遊戲中的無效指令,120239444380330243,Feed,22,24,1.09090909,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",順著天意做事-spirit,120242339359640243,"Facebook Reels",121,132,1.09090909,TWD,15,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",隱藏關卡-spirit,120242339359660243,Feed,307,347,1.13029316,TWD,20,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","#3 Ads-biz audience",隱藏關卡-biz,120242339359610243,"Facebook Reels",97,110,1.13402062,TWD,16,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#3,"不是息心除妄想 ，只緣無事可思量",120239444380320243,Feed,28,32,1.14285714,TWD,0,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","＃2 Ads-spirit audience",別再問當初-spirit,120242088949730243,"Facebook Reels",25,29,1.16,TWD,3,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","#2 Ads-biz audience","無反應練習 -biz",120242088483140243,"Facebook Reels",204,241,1.18137255,TWD,22,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#5,丙午赤馬年，你準備好,120239995485910243,Feed,65,77,1.18461538,TWD,1,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #4","#4 Ads-biz audience",良心生的太大顆-biz,120242534508600243,Feed,1191,1411,1.18471872,TWD,94,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","＃2 Ads-spirit audience",無反應練習-spirit,120242088359060243,"Facebook Reels",110,131,1.19090909,TWD,11,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,ads#11,靈性成長的代價,120241686503350243,Feed,982,1182,1.20366599,TWD,73,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","＃3 Ads-spirit audience",順著天意做事-spirit,120242339359640243,Feed,1124,1368,1.21708185,TWD,69,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","#3 Ads-biz audience",隱藏關卡-biz,120242339359610243,Feed,374,458,1.22459893,TWD,29,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#9,"忍辱還是忍耐，你確定你修行修對了嗎？ - Copy",120240923077920243,Feed,884,1084,1.22624434,TWD,59,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,"Winner Ads",願力,120238946117470243,Feed,65,80,1.23076923,TWD,7,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #3","#3 Ads-biz audience",順著天意做事-biz,120242339359620243,"Facebook Reels",783,979,1.25031928,TWD,95,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test","Ads-biz audience",定海神針-biz,120241051380370243,Feed,2441,3069,1.25727161,TWD,172,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#2,小心負能量炸彈,120239150254200243,Feed,173,218,1.26011561,TWD,16,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test","Ads-biz audience",定海神針-biz,120241051380370243,"Facebook Reels",316,411,1.30063291,TWD,52,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #4","#4 Ads-biz audience",良心生的太大顆-biz,120242534508600243,"Facebook Reels",359,467,1.30083565,TWD,55,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#9,如果你的生命正在經歷失去,120240923314980243,Feed,190,248,1.30526316,TWD,4,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","＃2 Ads-spirit audience",別再問當初-spirit,120242088949730243,Feed,317,414,1.30599369,TWD,8,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,ads#11,『離開』是為了逃避？,120241686503340243,Feed,3873,5085,1.31293571,TWD,293,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#6,你算命嗎？算命是怎麼一回事呢？,120240305183740243,Feed,236,310,1.31355932,TWD,9,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#3,你看到的是攻擊，我看到的是求救。,120239487827550243,Feed,3477,4579,1.31693989,TWD,392,"1-day click",2026-01-01,2026-04-18
Tuner,"AB test #2","＃2 Ads-spirit audience","長姊病-spirit -",120242088913790243,"Facebook Reels",1487,1962,1.3194351,TWD,216,"1-day click",2026-01-01,2026-04-18
Tuner,文章推薦,Ads#6,【我的菩薩，是一匹馬：在拉扯中看見覺醒】,120240305240460243,Feed,1212,1603,1.32260726,TWD,88,"1-day click",2026-01-01,2026-04-18
